contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
JS_YC_contig_22874534	72449	No	NA	130	20	1	Medium-quality	Genome-fragment	82.27	HMM-based (lower-bound)	0	1	
JS_YC_contig_6367632	70751	No	NA	72	5	1	Low-quality	Genome-fragment	36.01	AAI-based (medium-confidence)	0	1	
GX_BH_contig_30582600	70719	No	NA	90	16	1	High-quality	High-quality	90.56	AAI-based (medium-confidence)	0	1	
ZJ_WZ_contig_11269286	70705	No	NA	39	7	0	Medium-quality	Genome-fragment	59.1	AAI-based (medium-confidence)	0	1	
GD_ZH_contig_26133001	70645	No	NA	112	14	4	Low-quality	Genome-fragment	38.58	HMM-based (lower-bound)	0	1	
ZJ_NB_contig_16154260||full	70616	No	NA	98	17	4	Complete	High-quality	100	DTR (medium-confidence)	0	1	
ZJ_WZ_contig_27245757	70267	No	NA	108	12	2	Complete	High-quality	100	DTR (high-confidence)	0	1	
ZJ_NB_contig_7938033||full_1	69559	No	NA	105	27	1	Low-quality	Genome-fragment	19.81	AAI-based (medium-confidence)	0	1	
ZJ_WZ_contig_8256396	69348	No	NA	76	2	5	Low-quality	Genome-fragment	24.51	HMM-based (lower-bound)	0	1	
ZJ_WZ_contig_3268092	69334	No	NA	80	9	1	Medium-quality	Genome-fragment	68.47	AAI-based (medium-confidence)	0	1	
SD_QD_contig_24509221	69200	No	NA	91	12	4	Low-quality	Genome-fragment	45.88	AAI-based (medium-confidence)	0	1	
ZJ_WZ_contig_21489438	69007	No	NA	73	19	2	Low-quality	Genome-fragment	19.53	AAI-based (medium-confidence)	0	1	
HN_SY_contig_34732266||full_1	68859	No	NA	98	6	0	Medium-quality	Genome-fragment	77.26	HMM-based (lower-bound)	0	1	
ZJ_NB_contig_5429611	68807	No	NA	76	32	3	Low-quality	Genome-fragment	38.48	AAI-based (high-confidence)	0	1.01	
SD_QD_contig_11299071	68748	No	NA	88	21	0	Medium-quality	Genome-fragment	62.44	AAI-based (medium-confidence)	0	1	
ZJ_WZ_contig_67648	68634	No	NA	82	10	0	Medium-quality	Genome-fragment	80.5	HMM-based (lower-bound)	0	1	
JS_LYG_contig_16162928	68534	No	NA	85	36	1	Medium-quality	Genome-fragment	61.31	AAI-based (medium-confidence)	0	1	
SD_QD_contig_14973171	68091	No	NA	87	17	0	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	
ZJ_NB_contig_8289063	67172	No	NA	58	3	0	Low-quality	Genome-fragment	25.2	HMM-based (lower-bound)	0	1	
LN_DD_contig_14517178||full	66778	No	NA	87	19	0	High-quality	High-quality	91.2	HMM-based (lower-bound)	0	1	
ZJ_WZ_contig_14400766	66526	No	NA	99	61	0	Low-quality	Genome-fragment	34.78	AAI-based (high-confidence)	0	1	
JS_LYG_contig_11168511	66447	No	NA	91	22	1	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	
ZJ_WZ_contig_17168529	66396	No	NA	81	5	1	Complete	High-quality	100	DTR (high-confidence)	0	1	
ZJ_WZ_contig_5376150	66151	No	NA	42	5	0	Medium-quality	Genome-fragment	62.12	AAI-based (medium-confidence)	0	1	
GX_BH_contig_18315131||0_partial_1	65775	No	NA	76	29	0	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	
JS_LYG_contig_6012586||full	65604	No	NA	60	14	2	Complete	High-quality	100	DTR (high-confidence)	0	1	
ZJ_NB_contig_25744583||full_1	64961	No	NA	62	5	0	Low-quality	Genome-fragment	20.71	AAI-based (medium-confidence)	0	1	
JS_YC_contig_10511516_fragment_2	64699	No	NA	63	9	2	Low-quality	Genome-fragment	41.49	AAI-based (medium-confidence)	0	1	
JS_LYG_contig_4158666	64537	No	NA	74	15	0	Complete	High-quality	100	DTR (high-confidence)	0	1	
GD_ST_contig_23016708||full_1	63781	No	NA	76	17	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	
GD_ST_contig_16315354	63546	No	NA	78	12	0	Complete	High-quality	100	DTR (high-confidence)	0	1.01	
LN_DD_contig_14463145	63302	No	NA	90	34	0	Low-quality	Genome-fragment	11.08	HMM-based (lower-bound)	0	1	
JS_YC_contig_544845	63190	No	NA	107	2	1	Low-quality	Genome-fragment	33.32	HMM-based (lower-bound)	0	1	
JS_YC_contig_2584171	62958	No	NA	99	8	5	Medium-quality	Genome-fragment	51.48	HMM-based (lower-bound)	0	1	
HN_SY_contig_20931214	62706	No	NA	72	15	2	Medium-quality	Genome-fragment	89.36	AAI-based (medium-confidence)	0	1	
JS_LYG_contig_8676445	62509	No	NA	80	6	0	Complete	High-quality	100	DTR (high-confidence)	0	1	
FJ_XM_contig_33768249	62457	No	NA	72	13	4	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	
ZJ_NB_contig_11318374	62130	No	NA	98	12	5	Medium-quality	Genome-fragment	83.21	HMM-based (lower-bound)	0	1	
FJ_XM_contig_16654606	62115	No	NA	72	14	2	Low-quality	Genome-fragment	49.86	AAI-based (medium-confidence)	0	1	
HN_SY_contig_7202356	62034	No	NA	71	19	0	Medium-quality	Genome-fragment	57.66	AAI-based (medium-confidence)	0	1	
SD_QD_contig_31505921_fragment_2	61905	No	NA	106	24	2	Medium-quality	Genome-fragment	71.62	HMM-based (lower-bound)	0	1	
GD_ST_contig_4040451	61763	No	NA	86	19	2	High-quality	High-quality	95.88	AAI-based (medium-confidence)	0	1	
SD_DY_contig_17581476	61731	No	NA	121	7	2	Low-quality	Genome-fragment	43.01	HMM-based (lower-bound)	0	1	
FJ_XM_contig_36264901||full	61597	No	NA	80	19	0	Medium-quality	Genome-fragment	78.29	HMM-based (lower-bound)	0	1	low-confidence DTR
FJ_XM_contig_26482069	61367	No	NA	71	22	1	Complete	High-quality	100	DTR (high-confidence)	0	1	
GD_ST_contig_13361709	61353	No	NA	67	5	0	Medium-quality	Genome-fragment	66.43	HMM-based (lower-bound)	0	1	
ZJ_NB_contig_12614770	61250	No	NA	76	14	0	Medium-quality	Genome-fragment	75.67	AAI-based (medium-confidence)	0	1	low-confidence DTR
ZJ_WZ_contig_26402395	60738	No	NA	66	7	0	Medium-quality	Genome-fragment	81.12	HMM-based (lower-bound)	0	1	
ZJ_NB_contig_3590639||full	60436	No	NA	79	22	0	High-quality	High-quality	96.14	AAI-based (medium-confidence)	0	1.01	
SD_DY_contig_251556	59651	No	NA	99	22	7	Complete	High-quality	100	DTR (high-confidence)	0	1	contig >1.5x longer than expected genome length
JS_LYG_contig_2895676	59440	No	NA	81	21	1	Medium-quality	Genome-fragment	84.58	AAI-based (high-confidence)	0	1	
HN_SY_contig_3552815	59193	No	NA	78	10	0	Complete	High-quality	100	DTR (high-confidence)	0	1.02	
ZJ_WZ_contig_3565930	58981	No	NA	77	17	1	High-quality	High-quality	96.49	AAI-based (high-confidence)	0	1	
ZJ_NB_contig_23203093	58923	No	NA	100	27	4	Low-quality	Genome-fragment	33.28	AAI-based (medium-confidence)	0	1	
GD_ZH_contig_21941984	58761	No	NA	51	4	0	Low-quality	Genome-fragment	47.97	AAI-based (medium-confidence)	0	1	
FJ_XM_contig_14537592	58675	No	NA	104	14	1	Medium-quality	Genome-fragment	63.85	AAI-based (medium-confidence)	0	1	
JS_YC_contig_25024804	58488	No	NA	57	12	1	Medium-quality	Genome-fragment	66.29	HMM-based (lower-bound)	0	1	
JS_LYG_contig_10753045||full	57776	No	NA	67	15	0	Complete	High-quality	100	DTR (high-confidence)	0	1	
ZJ_NB_contig_10479113||full	57684	No	NA	79	4	0	Low-quality	Genome-fragment	34.46	HMM-based (lower-bound)	0	1	
JS_YC_contig_16858917_1	57629	No	NA	32	4	0	Low-quality	Genome-fragment	32.87	AAI-based (high-confidence)	0	1	
ZJ_WZ_contig_7862354	57450	No	NA	73	21	0	Complete	High-quality	100	DTR (high-confidence)	0	1	
JS_LYG_contig_3177629	57357	No	NA	32	6	1	Low-quality	Genome-fragment	48.06	AAI-based (medium-confidence)	0	1	
HN_SY_contig_23974522||full	57199	No	NA	69	7	0	Medium-quality	Genome-fragment	73.46	AAI-based (medium-confidence)	0	1	
JS_LYG_contig_24279002	57174	No	NA	71	18	0	High-quality	High-quality	95.43	AAI-based (medium-confidence)	0	1	
FJ_XM_contig_17880867	57162	No	NA	67	20	0	Medium-quality	Genome-fragment	76.99	AAI-based (medium-confidence)	0	1	
GX_BH_contig_6528052||full	57113	No	NA	75	22	0	Complete	High-quality	100	DTR (high-confidence)	0	1	
ZJ_WZ_contig_11817497	56925	No	NA	46	17	2	Low-quality	Genome-fragment	16.33	AAI-based (medium-confidence)	0	1	
JS_YC_contig_1920539	56752	No	NA	89	10	1	Medium-quality	Genome-fragment	67	AAI-based (medium-confidence)	0	1	
FJ_XM_contig_2750799	56590	No	NA	61	16	0	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	
SD_DY_contig_13194689||full	56343	No	NA	93	7	1	Medium-quality	Genome-fragment	61.81	HMM-based (lower-bound)	0	1	
ZJ_NB_contig_21086757||full_1	56272	No	NA	92	8	5	Low-quality	Genome-fragment	24.9	HMM-based (lower-bound)	0	1	
JS_LYG_contig_11711886	56041	No	NA	69	17	0	Medium-quality	Genome-fragment	59.73	AAI-based (medium-confidence)	0	1	
SD_QD_contig_23646798	56041	No	NA	88	7	0	Medium-quality	Genome-fragment	63.07	AAI-based (medium-confidence)	0	1	
JS_LYG_contig_20859688||full	55870	No	NA	70	16	1	Complete	High-quality	100	DTR (high-confidence)	0	1	
ZJ_WZ_contig_10325551	55483	No	NA	75	20	1	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	
LN_DD_contig_4292323	55444	No	NA	57	21	1	Low-quality	Genome-fragment	23.87	AAI-based (medium-confidence)	0	1.02	
SD_DY_contig_25236539||full	55371	No	NA	75	20	1	Medium-quality	Genome-fragment	81.45	HMM-based (lower-bound)	0	1	
GD_ST_contig_6357626	55346	No	NA	54	30	0	Medium-quality	Genome-fragment	74.58	AAI-based (high-confidence)	0	1	
ZJ_WZ_contig_5536068	55055	No	NA	89	9	3	Medium-quality	Genome-fragment	72.1	AAI-based (medium-confidence)	0	1	
FJ_XM_contig_32800505	54882	No	NA	53	25	1	Low-quality	Genome-fragment	48.82	AAI-based (high-confidence)	0	1.01	
GX_BH_contig_34176876||full	54604	No	NA	55	7	0	Complete	High-quality	100	DTR (high-confidence)	0	1	
ZJ_WZ_contig_8201747	54505	No	NA	89	26	1	Medium-quality	Genome-fragment	61.29	HMM-based (lower-bound)	0	1.01	low-confidence DTR
ZJ_NB_contig_20732377	54415	No	NA	122	3	7	Low-quality	Genome-fragment	22.6	HMM-based (lower-bound)	0	1	
ZJ_NB_contig_7497574||full	54415	No	NA	66	18	0	High-quality	High-quality	98.01	AAI-based (high-confidence)	0	1	
HN_SY_contig_434792	54219	No	NA	76	4	1	Low-quality	Genome-fragment	41.82	HMM-based (lower-bound)	0	1.01	
ZJ_WZ_contig_15983728	54191	No	NA	61	15	0	Complete	High-quality	100	DTR (high-confidence)	0	1	
ZJ_WZ_contig_18206194	54094	No	NA	110	6	0	Low-quality	Genome-fragment	44.12	HMM-based (lower-bound)	0	1	
ZJ_WZ_contig_9519175||full	53953	No	NA	62	17	0	Low-quality	Genome-fragment	8.81	HMM-based (lower-bound)	0	1	
ZJ_NB_contig_9206350	53650	No	NA	72	8	2	Low-quality	Genome-fragment	16.41	AAI-based (high-confidence)	0	1	
ZJ_WZ_contig_5896328	53571	No	NA	73	7	3	Low-quality	Genome-fragment	36.99	AAI-based (medium-confidence)	0	1	
JS_YC_contig_24766356	53340	No	NA	101	15	3	Low-quality	Genome-fragment	24.11	HMM-based (lower-bound)	0	1	
GX_BH_contig_9140860	53271	No	NA	70	4	1	Complete	High-quality	100	DTR (high-confidence)	0	1	
GX_BH_contig_17803394	53221	No	NA	57	9	0	Low-quality	Genome-fragment	18.96	AAI-based (medium-confidence)	0	1	
GD_ST_contig_15038263||full	53094	No	NA	68	23	0	Low-quality	Genome-fragment	36.15	AAI-based (medium-confidence)	0	1	low-confidence DTR
SD_QD_contig_18923542	53086	No	NA	53	6	0	Low-quality	Genome-fragment	28.04	AAI-based (medium-confidence)	0	1	
ZJ_NB_contig_28130482	52755	No	NA	97	6	7	Low-quality	Genome-fragment	28.91	HMM-based (lower-bound)	0	1	
ZJ_WZ_contig_1765733	52496	No	NA	98	5	1	Low-quality	Genome-fragment	26.69	HMM-based (lower-bound)	0	1	
SD_DY_contig_25697671||full_1	52404	No	NA	79	5	1	Low-quality	Genome-fragment	37.58	HMM-based (lower-bound)	0	1	
ZJ_WZ_contig_4416600||full	52290	No	NA	64	18	1	Medium-quality	Genome-fragment	69	HMM-based (lower-bound)	0	1	
ZJ_WZ_contig_18933343	52273	No	NA	43	20	1	Low-quality	Genome-fragment	16.03	AAI-based (medium-confidence)	0	1	
ZJ_WZ_contig_18691585	52201	No	NA	52	32	0	Low-quality	Genome-fragment	29.07	AAI-based (high-confidence)	0	1	
JS_LYG_contig_1715423	51859	No	NA	65	7	4	Low-quality	Genome-fragment	37.53	HMM-based (lower-bound)	0	1	
SD_DY_contig_11422486||full	51840	No	NA	113	4	2	Low-quality	Genome-fragment	11.24	AAI-based (medium-confidence)	0	1	
GD_ZH_contig_10552334	51726	No	NA	53	1	0	Medium-quality	Genome-fragment	65.17	AAI-based (medium-confidence)	0	1	
SD_QD_contig_28874426	51647	No	NA	60	11	2	Medium-quality	Genome-fragment	61.9	HMM-based (lower-bound)	0	1	
JS_LYG_contig_13834208||full	51428	No	NA	69	21	0	Medium-quality	Genome-fragment	63.62	HMM-based (lower-bound)	0	1	
JS_YC_contig_1499308	51344	No	NA	40	1	2	Low-quality	Genome-fragment	26.97	AAI-based (high-confidence)	0	1	
ZJ_NB_contig_3114912||full	51330	No	NA	59	5	1	Complete	High-quality	100	DTR (high-confidence)	0	1.01	
GX_BH_contig_15624523	51149	No	NA	42	1	1	Medium-quality	Genome-fragment	76.52	HMM-based (lower-bound)	0	1	
ZJ_NB_contig_8755902	51100	No	NA	68	7	3	Low-quality	Genome-fragment	26.1	HMM-based (lower-bound)	0	1	
JS_YC_contig_12839831	50843	No	NA	66	23	0	Medium-quality	Genome-fragment	81.29	AAI-based (medium-confidence)	0	1	
JS_YC_contig_19537488||full	50667	No	NA	74	27	0	Medium-quality	Genome-fragment	68.19	AAI-based (medium-confidence)	0	1	
ZJ_WZ_contig_3649560	50592	No	NA	69	12	1	Medium-quality	Genome-fragment	59.6	HMM-based (lower-bound)	0	1	
ZJ_WZ_contig_22434091	50500	No	NA	73	6	0	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	
LN_DD_contig_6472106	50477	No	NA	101	7	1	Low-quality	Genome-fragment	21.52	HMM-based (lower-bound)	0	1	
ZJ_NB_contig_20189237||full	50269	No	NA	70	13	0	Medium-quality	Genome-fragment	63.41	HMM-based (lower-bound)	0	1	
ZJ_WZ_contig_14899226	50250	No	NA	67	18	0	Medium-quality	Genome-fragment	65.35	AAI-based (medium-confidence)	0	1	
FJ_XM_contig_34330941	50129	No	NA	79	23	1	Complete	High-quality	100	DTR (high-confidence)	0	1	
ZJ_NB_contig_13627500||full_1	50107	No	NA	61	28	0	Medium-quality	Genome-fragment	82.37	AAI-based (medium-confidence)	0	1	
ZJ_NB_contig_12671060||full	50045	No	NA	66	9	0	Low-quality	Genome-fragment	32.59	AAI-based (medium-confidence)	0	1	
SD_DY_contig_16847803	49927	No	NA	63	8	1	Complete	High-quality	100	DTR (high-confidence)	0	1	
GX_BH_contig_7896600||full	49831	No	NA	67	11	3	Medium-quality	Genome-fragment	70.6	HMM-based (lower-bound)	0	1	
GX_BH_contig_24636524	49826	No	NA	30	10	1	Medium-quality	Genome-fragment	64.66	HMM-based (lower-bound)	0	1	
ZJ_NB_contig_9626360	49752	No	NA	61	9	1	Low-quality	Genome-fragment	21.67	HMM-based (lower-bound)	0	1	
HN_SY_contig_3793057	49751	No	NA	64	16	1	Medium-quality	Genome-fragment	70.79	AAI-based (medium-confidence)	0	1	
SD_DY_contig_19446122||full	49748	No	NA	66	6	3	Low-quality	Genome-fragment	22.38	HMM-based (lower-bound)	0	1	
HN_SY_contig_10845362||full	49721	No	NA	48	3	2	Medium-quality	Genome-fragment	81.97	HMM-based (lower-bound)	0	1	
JS_YC_contig_26669410	49685	No	NA	64	7	0	Low-quality	Genome-fragment	43.11	AAI-based (medium-confidence)	0	1	
ZJ_WZ_contig_6483864	49658	No	NA	67	13	1	Low-quality	Genome-fragment	49.79	AAI-based (medium-confidence)	0	1	
ZJ_NB_contig_28906154||full	49647	No	NA	62	12	1	Low-quality	Genome-fragment	44.91	HMM-based (lower-bound)	0	1	low-confidence DTR
ZJ_NB_contig_19483625||full	49578	No	NA	68	15	1	Medium-quality	Genome-fragment	58.96	HMM-based (lower-bound)	0	1	
ZJ_WZ_contig_27245973	49311	No	NA	70	22	0	Medium-quality	Genome-fragment	68.49	HMM-based (lower-bound)	0	1	low-confidence DTR
ZJ_NB_contig_26971807	49281	No	NA	71	27	1	High-quality	High-quality	90.58	AAI-based (medium-confidence)	0	1	
LN_DD_contig_3914523	49141	No	NA	72	12	0	Low-quality	Genome-fragment	42.6	AAI-based (high-confidence)	0	1	
ZJ_NB_contig_17843807	49139	No	NA	56	19	0	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	
JS_YC_contig_22258428	49094	No	NA	74	13	1	Medium-quality	Genome-fragment	60.19	HMM-based (lower-bound)	0	1	
GX_BH_contig_6382586	48875	No	NA	56	7	2	Medium-quality	Genome-fragment	57.08	HMM-based (lower-bound)	0	1	low-confidence DTR
ZJ_WZ_contig_8624418	48815	No	NA	63	4	5	Complete	High-quality	100	DTR (high-confidence)	0	1	
LN_DD_contig_24520454	48768	No	NA	28	4	1	Low-quality	Genome-fragment	28.19	HMM-based (lower-bound)	0	1	
ZJ_WZ_contig_15436671||full	48707	No	NA	62	3	7	Low-quality	Genome-fragment	33.98	AAI-based (medium-confidence)	0	1	
ZJ_WZ_contig_27245599	48638	No	NA	65	5	1	Low-quality	Genome-fragment	42.09	HMM-based (lower-bound)	0	1	low-confidence DTR
ZJ_NB_contig_22046536	48636	No	NA	52	18	1	Low-quality	Genome-fragment	13.13	AAI-based (medium-confidence)	0	1.01	
FJ_XM_contig_13122286	48627	No	NA	62	18	0	Complete	High-quality	100	DTR (high-confidence)	0	1	
JS_LYG_contig_22803629	48542	No	NA	59	5	3	Low-quality	Genome-fragment	26.27	AAI-based (medium-confidence)	0	1	
ZJ_WZ_contig_21855656||full	48505	No	NA	61	46	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	
ZJ_WZ_contig_14290867||full	48396	No	NA	75	3	3	Low-quality	Genome-fragment	46.45	HMM-based (lower-bound)	0	1	
