seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
JS_YC_contig_14082179	18278	No terminal repeats	NA	24	11	0.9836	NA	3	37.3653	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_2768373	11459	No terminal repeats	NA	7	11	0.9836	NA	0	11.9716	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GD_ZH_contig_21162833	7066	No terminal repeats	NA	12	11	0.9836	NA	4	20.3825	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
JS_LYG_contig_19814811	6063	No terminal repeats	NA	6	11	0.9836	NA	0	9.7780	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_10620487	13020	No terminal repeats	NA	9	11	0.9836	NA	3	15.3884	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
ZJ_WZ_contig_24274935	5708	No terminal repeats	NA	12	11	0.9836	NA	0	20.4578	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_16322217	5805	No terminal repeats	NA	9	11	0.9836	NA	2	15.4645	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
JS_YC_contig_28132839	5066	No terminal repeats	NA	9	11	0.9836	NA	1	15.4464	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_807879	5205	No terminal repeats	NA	8	11	0.9836	NA	2	12.8583	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GD_ZH_contig_18177077	9800	No terminal repeats	NA	10	11	0.9836	NA	0	16.4810	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_1842914	6864	No terminal repeats	NA	8	11	0.9836	NA	2	13.4728	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_7869803	6507	No terminal repeats	NA	10	11	0.9836	NA	0	17.1828	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
FJ_XM_contig_33145696	5158	No terminal repeats	NA	8	11	0.9836	NA	0	13.4191	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_7415413	13989	No terminal repeats	NA	13	11	0.9836	NA	0	21.3783	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_4369807	6403	No terminal repeats	NA	6	11	0.9836	NA	0	9.9346	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
FJ_XM_contig_12447204	9666	No terminal repeats	NA	7	11	0.9836	NA	1	11.8129	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_17814001	8141	No terminal repeats	NA	10	11	0.9836	NA	0	16.7613	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_20147215	6997	No terminal repeats	NA	7	11	0.9836	NA	2	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GD_ZH_contig_19422275	19507	No terminal repeats	NA	29	11	0.9836	NA	5	47.2092	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_16423985	8425	No terminal repeats	NA	13	11	0.9836	NA	1	20.6933	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_7473442	5383	No terminal repeats	NA	8	11	0.9836	NA	1	13.7440	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_9282039	6417	No terminal repeats	NA	7	11	0.9836	NA	2	11.4486	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
SD_QD_contig_27106255	6056	No terminal repeats	NA	7	11	0.9836	NA	1	12.0266	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_21309898	6474	No terminal repeats	NA	10	11	0.9836	NA	1	16.5342	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_1704656	11082	No terminal repeats	NA	18	11	0.9836	NA	1	30.7368	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_3915093	15643	No terminal repeats	NA	31	11	0.9836	NA	3	49.9706	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_14352238	6165	No terminal repeats	NA	6	11	0.9836	NA	1	9.9015	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_27206723	7881	No terminal repeats	NA	10	11	0.9836	NA	2	15.9927	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_22003438	6929	No terminal repeats	NA	14	11	0.9836	NA	1	23.4229	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_4186721	5401	No terminal repeats	NA	8	11	0.9836	NA	0	13.5641	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_12111849	7108	No terminal repeats	NA	15	11	0.9836	NA	0	22.7477	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
HN_SY_contig_796790	5804	No terminal repeats	NA	8	11	0.9836	NA	1	13.7202	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_686239	6515	No terminal repeats	NA	7	11	0.9836	NA	4	12.0240	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
FJ_XM_contig_18671205	5056	No terminal repeats	NA	6	11	0.9836	NA	3	10.0947	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
SD_QD_contig_24205171	5904	No terminal repeats	NA	8	11	0.9836	NA	2	13.7304	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_21507730	5019	No terminal repeats	NA	8	11	0.9836	NA	0	13.5557	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_13915482	18692	No terminal repeats	NA	22	11	0.9836	NA	2	35.3637	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Demerecviridae
ZJ_WZ_contig_15736491	7803	No terminal repeats	NA	13	11	0.9835	NA	2	20.6045	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
JS_LYG_contig_18026026	6026	No terminal repeats	NA	9	11	0.9835	NA	1	15.4515	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
SD_QD_contig_13104603	5457	No terminal repeats	NA	8	11	0.9835	NA	1	12.8137	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_23492981	5690	No terminal repeats	NA	8	11	0.9835	NA	0	13.6921	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
JS_YC_contig_23674178	6633	No terminal repeats	NA	5	11	0.9835	NA	2	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales
SD_QD_contig_9768815	6377	No terminal repeats	NA	10	11	0.9835	NA	3	16.7250	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_12676813||full	5117	No terminal repeats	NA	11	11	0.9835	NA	0	18.4610	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_26808910	12227	No terminal repeats	NA	19	11	0.9835	NA	2	28.8431	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_15496981	6550	No terminal repeats	NA	11	11	0.9835	NA	4	18.6566	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_19332057	17800	No terminal repeats	NA	33	11	0.9835	NA	3	50.1702	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_8486336	5146	No terminal repeats	NA	11	11	0.9835	NA	0	17.7247	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_17453284	7954	No terminal repeats	NA	7	11	0.9835	NA	1	11.3081	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_7246910	13561	No terminal repeats	NA	17	11	0.9835	NA	2	28.7403	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_20046868	13035	No terminal repeats	NA	27	11	0.9835	NA	0	42.2331	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_7084995	5185	No terminal repeats	NA	7	11	0.9835	NA	2	12.0139	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_11343435	7259	No terminal repeats	NA	9	11	0.9835	NA	5	14.1801	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
SD_QD_contig_26508642	6717	No terminal repeats	NA	6	11	0.9835	NA	1	9.9346	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_20260098||full	7819	No terminal repeats	NA	12	11	0.9835	NA	2	19.9521	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
HN_SY_contig_870582	6961	No terminal repeats	NA	6	11	0.9835	NA	2	9.8020	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_13916401	8813	No terminal repeats	NA	9	11	0.9835	NA	2	14.7570	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_7822881	5341	No terminal repeats	NA	9	11	0.9835	NA	4	14.9635	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_9675228	5976	No terminal repeats	NA	6	11	0.9835	NA	0	10.2290	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
JS_LYG_contig_17674307	5975	No terminal repeats	NA	8	11	0.9835	NA	1	13.5079	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Zobellviridae
SD_QD_contig_9704661	5355	No terminal repeats	NA	7	11	0.9835	NA	1	12.0021	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kyanoviridae
SD_QD_contig_154968	6139	No terminal repeats	NA	9	11	0.9835	NA	1	15.1826	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GD_ZH_contig_23140025	8120	No terminal repeats	NA	8	11	0.9835	NA	1	12.8164	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
JS_YC_contig_16349424	7842	No terminal repeats	NA	12	11	0.9835	NA	2	18.8809	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_13040494	5448	No terminal repeats	NA	7	11	0.9835	NA	3	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_5035473	5572	No terminal repeats	NA	7	11	0.9835	NA	1	10.9115	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_2441716	6430	No terminal repeats	NA	6	11	0.9835	NA	4	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
FJ_XM_contig_31776657	6779	No terminal repeats	NA	6	11	0.9835	NA	0	9.8537	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_17107557	6037	No terminal repeats	NA	6	11	0.9835	NA	1	10.3079	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_4450760	8185	No terminal repeats	NA	10	11	0.9835	NA	3	16.3073	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
SD_QD_contig_26161357	5271	No terminal repeats	NA	7	11	0.9835	NA	1	11.7274	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_23911924	5369	No terminal repeats	NA	8	11	0.9835	NA	3	12.5097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GD_ST_contig_3239973	7558	No terminal repeats	NA	9	11	0.9835	NA	2	12.6266	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_19098671	6551	No terminal repeats	NA	7	11	0.9835	NA	1	12.0134	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_5449166	7099	No terminal repeats	NA	8	11	0.9835	NA	2	13.5101	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_341997	5698	No terminal repeats	NA	6	11	0.9835	NA	0	10.2671	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
JS_YC_contig_11210882	7867	No terminal repeats	NA	12	11	0.9835	NA	3	20.6194	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
SD_QD_contig_30355166	10561	No terminal repeats	NA	16	11	0.9835	NA	2	26.6127	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_9522538	5418	No terminal repeats	NA	7	11	0.9835	NA	3	11.8588	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_24422305	5899	No terminal repeats	NA	7	11	0.9835	NA	0	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_28219348	16138	No terminal repeats	NA	24	11	0.9835	NA	3	35.3757	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
JS_YC_contig_9693094	15897	No terminal repeats	NA	26	11	0.9835	NA	2	39.9541	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
SD_QD_contig_14315006	9541	No terminal repeats	NA	7	11	0.9835	NA	3	11.7238	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_11460122	5625	No terminal repeats	NA	7	11	0.9835	NA	0	12.0071	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
JS_LYG_contig_16488212	10079	No terminal repeats	NA	18	11	0.9835	NA	3	29.2068	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
JS_LYG_contig_6785783||full_1	6419	No terminal repeats	NA	11	11	0.9835	NA	6	15.9688	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_8291972	8237	No terminal repeats	NA	7	11	0.9835	NA	1	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales
SD_QD_contig_14984116	17217	No terminal repeats	NA	25	11	0.9835	NA	8	40.7501	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_14100773	5361	No terminal repeats	NA	9	11	0.9835	NA	3	15.4415	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_13337659	5030	No terminal repeats	NA	9	11	0.9835	NA	0	15.4337	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_2554544	8315	No terminal repeats	NA	6	11	0.9835	NA	0	9.8339	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
JS_LYG_contig_14128979	13666	No terminal repeats	NA	19	11	0.9835	NA	9	28.2354	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_7313245	7813	No terminal repeats	NA	10	11	0.9835	NA	0	17.1778	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_9240228	5122	No terminal repeats	NA	6	11	0.9835	NA	1	10.0833	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
SD_QD_contig_11230718	7278	No terminal repeats	NA	10	11	0.9835	NA	2	17.1828	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
JS_YC_contig_9562471	6232	No terminal repeats	NA	7	11	0.9835	NA	1	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Zobellviridae
ZJ_WZ_contig_78519	5986	No terminal repeats	NA	7	11	0.9835	NA	3	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_1240600	7345	No terminal repeats	NA	10	11	0.9835	NA	1	14.2355	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_4625286	6746	No terminal repeats	NA	12	11	0.9835	NA	0	18.5593	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GD_ZH_contig_20916884	6832	No terminal repeats	NA	11	11	0.9835	NA	1	16.2418	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_23607204	5287	No terminal repeats	NA	8	11	0.9835	NA	0	12.9654	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
LN_DD_contig_14170463	6253	No terminal repeats	NA	10	11	0.9835	NA	2	16.4917	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_15745418	5687	No terminal repeats	NA	13	11	0.9835	NA	1	22.3377	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
FJ_XM_contig_21811423	5431	No terminal repeats	NA	11	11	0.9835	NA	5	16.4970	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_NB_contig_20089980	7816	No terminal repeats	NA	11	11	0.9835	NA	2	18.4874	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
ZJ_WZ_contig_18791310	5303	No terminal repeats	NA	9	11	0.9835	NA	2	14.4283	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
FJ_XM_contig_19068240	17983	No terminal repeats	NA	18	11	0.9835	NA	8	26.3147	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
ZJ_NB_contig_18648110	5116	No terminal repeats	NA	6	11	0.9835	NA	1	10.3046	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
HN_SY_contig_18287606	8039	No terminal repeats	NA	13	11	0.9835	NA	1	21.9336	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
