	BH2_FDSW220017122-1r	BH4_FDSW220017124-1r	BH6_FDSW220017126-1r	BH8_FDSW220017128-1r	BH10_FDSW220017130-1r	BH12_FDSW220017132-1r	BH14_FDSW220017134-1r	BH15_FDSW220017135-1r	DD1_FDSW220008388-1r	DD3_FDSW220008390-2r	DD5_FDSW220008392-2r	DD7_FDSW220008394-1r	DD9_FDSW220008396-1r	DD11_FDSW220008398-1r	DD13_FDSW220008400-2r	DD15_FDSW220008402-2r	DY2_FDME210438600-1b	DY3_FDME210438601-1r	DY6_FDME210438604-1r	DY7_FDME210438605-1r	DY10_FDME210438608-1r	DY11_FDME210438609-1r	DY13_FDME210438611-1b	DY15_FDME210438613-1r	LYG1_FDME210455382-1r	LYG3_FDME210455384-1r	LYG5_FDME210455386-1r	LYG6_FDME210455387-1r	LYG7_FDME210455388-1r	LYG11_FDME210455392-2r	LYG13_FDME210455394-1a	LYG15_FDME210455396-1a	NB1_FDME210455352-1r	NB2_FDME210455353-1r	NB4_FDME210455355-1r	NB6_FDME210455357-1r	NB7_FDME210455358-1r	NB11_FDME210455362-1b	NB12_FDME210455363-1r	NB15_FDME210455366-1r	SY1_FDME210455397-2a	SY3_FDME210455399-2a	SY7_FDME210455403-2a	SY9_FDME210455405-2a	SY11_FDME210455407-1r	SY12_FDME210455408-1r	SY13_FDME210455409-2a	SY15_FDME210455411-2a	ST1_FDME220007465-1r	ST3_L1	ST7_FDME220007471-1r	ST9_L1	ST10_L1	ST12_L1	ST13_L1	ST15_L1	WZ1_L1	WZ3_L1	WZ5_L1	WZ7_FDME210455463-1r	WZ10_L1	WZ11_L1	WZ14_L1	WZ15_FDME210455471-1r	XM2_FDME220007436-1r	XM4_FDME220007438-1r	XM6_FDME220007440-1r	XM8_FDME220007442-1r	XM10_FDME220007444-1r	XM12_FDME220007446-1r	XM14_FDME220007448-1r	XM15_FDME220007449-1r	YC1_FDME220007405-1r	YC3_FDME220007407-1r	YC5_FDME220007409-1r	YC7_FDME220007411-1a	YC9_FDME220007413-1r	YC11_FDME220007415-1r	YC13_FDME220007417-1r	YC15_FDME220007419-1r	ZH1_FDSW220008784-1r	ZH3_FDSW220008786-1r	ZH5_FDSW220008788-1r	ZH7_FDSW220008790-1r	ZH9_FDSW220008792-2r	ZH11_FDSW220008794-2r	ZH13_FDSW220008796-2r	ZH15_FDSW220008798-2r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r
FJ_XM_contig_12361577||full	8.530312737	4.844368628	3.21504805	3.175396841	1.231500388	2.657122558	0.954190518	2.426647537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40156538	0.785828434	0	0	0.192811237	0	0	0	0	0	0	0	0	0	0	0	5.673318235	0.770449925	6.366247902	4.077136033	2.771853355	6.860149173	5.414848516	4.260632975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ_XM_contig_1270918||full	0	0	0	0	0	0	0.846781634	0.874490543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.801537413	0	0	2.210750955	0	0	0.009490602	0	1.251459018	0.432273066	3.166875396	1.550522048	2.523367668	0.599713194	1.126548673	0.96425551	0	0	0	0	0	0	0	0	1.641471024	3.492139509	6.092711865	3.619335636	0.781680733	0	0	0	0	0	0	0	0.470957583	0	0	0	7.259272301	3.85076773	10.39687711	11.94256728	5.747373416	2.720477856	7.968756462	8.63262949	1.651792638	1.8570056	2.549735948	4.687305412	2.354731832	4.338031759	3.273083458	4.478676762	0.469225929	0.686243118	0	2.045078716	0	0	0.902106178	0	0	1.451465623	0	0	0	0	0	0.404473986
FJ_XM_contig_13590497||full_1	0	0	0	0	4.281789658	1.359470867	6.903703512	1.2562443	2.223296893	0	4.635700935	0.689660967	1.863741523	0	0.66597525	0.528168685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.334068125	0	0	0	0	0	0	1.268444041	0	0	0	0	0	0	0	0	6.053176358	10.70045628	11.92436344	7.821852175	14.61523745	10.18681726	7.050974522	6.366841775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ_XM_contig_1364577||full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.750889754	0	8.824943019	8.042361244	0.997044859	32.41327712	0.828052416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ_XM_contig_13706911||full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.302753965	8.703587001	6.299073907	1.736843561	6.316323372	4.410231235	7.865096999	6.680823167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ_XM_contig_13823533||full	0	0.433597385	0	0	0	0	1.034592299	0.166030092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50897151	2.11032771	0.370078375	0.902569003	0	0	0	0.486872296	0	0	0	0	0	0	0	0	2.312382659	9.734293254	11.44427914	13.8690246	8.474478201	4.261641827	7.098982437	4.55942479	0	0	0	0	0	0	0	0	0	0.579706206	0.162420071	1.004186986	0.645666428	0.331420251	0.751628246	0.45562993	0	0	0	0	0	0	0	0
FJ_XM_contig_13868504||full	0	0	0	0	0	0	0.1439168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.774943087	0	0	1.292468118	1.110058043	0	0.463703105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.975912486	1.702808985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.556382485	2.035092758	12.4335654	12.80125765	6.003193089	5.270389606	4.189036852	11.09877375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.362222412	0	0	0.209798643	0	0.009104799	0
FJ_XM_contig_14050443||full	0	0	0	0	0.286747708	0.132618701	0.951100804	0.209591502	0	0	0	0	0	0	0	0	0	0.561670905	0	0	0	0	0	0	0	0	0	0.232555761	2.025334115	0	0	3.62674797	0	0	0.051247692	0.781248417	0.140000762	0	0	0	0	0	0	0	0	0	0	0	7.50698962	5.63317167	2.534105339	3.268423334	2.575164451	0.789334461	0	3.297193157	0	0	0	0	0	0	0	0	2.98831035	4.031115985	7.178995486	5.165281971	7.144160871	7.035934606	6.226615056	4.872037188	0	0	0	0	0	0	0	0	0.939581637	1.080911411	0	1.267563516	4.733598573	1.595140514	2.888273796	7.971779713	0	0	0	0	0	0	0	0
FJ_XM_contig_14071076||full	0	0	0.259374878	0	0.083066242	0	0.170908871	0.061916749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.048929294	1.741421471	7.715769524	5.477379505	4.596483268	5.547524333	3.147585987	6.873180915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ_XM_contig_14522063||full	0.222735646	0.154750176	0.244023933	0.417083065	1.311711123	0	1.013341737	0.4664999	8.760205211	3.965730361	13.82840409	8.919161704	14.1152756	11.13278974	8.537916299	5.669680738	0	1.726542615	0	0	0	0	0	0	8.578464861	10.37878009	7.192238344	10.84635121	8.350778559	16.99662074	3.426684365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.087371917	0	2.388013376	0.540791431	0.889822738	0	1.085257768	0	0	0	0	0.13520054	0	0	0	4.800119831	4.741643314	10.79340605	9.279260084	5.989882131	5.778692358	8.388492011	5.705464859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.080194411	3.005583177	2.555582673	7.531735933	2.874391191	2.029874664	0.946177936	1.206761896
FJ_XM_contig_1466617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.59632967	19.17167699	13.0435143	12.19474323	5.775090775	2.047999685	4.560110622	2.442817726	0	0	0	0	0	0	0	0	55.60884675	55.26341322	55.92595601	43.26528897	47.78667887	126.7328586	46.67956359	88.04755692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ_XM_contig_15684896||full_1	0	1.09414143	0.325567159	0	0.636108781	0.059331132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.832785847	0.016754055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3607897	1.196794492	0.608444388	0	0.009896595	0.071786517	0.492065879	0	0	0	0	0	0	0	0	0	8.217495874	10.94006175	3.042702242	8.757093231	7.509916246	4.708064971	2.457025234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ_XM_contig_15995490||0_partial	25.77072294	19.50490732	23.58494854	33.22701755	27.29227606	24.88187517	27.3829613	24.88215799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.036707526	6.0185002	0.992449797	2.700071088	2.06893402	2.794921251	8.786154356	3.639134834	0	0	0	0	0	0	0	0	6.210023023	7.786188005	11.81451241	5.524406561	9.408516446	6.652709911	10.17867402	8.317273404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ_XM_contig_16198555||full	1.539909411	0.550038569	1.462127592	0.790938369	0	0	0.629852386	1.597523646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.730328805	7.422285711	12.8840662	7.490836489	7.914082769	11.46219812	10.86929079	15.19975131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ_XM_contig_16645588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.216675542	3.881004748	6.498840457	3.334066492	1.727234565	4.171096779	5.946499333	7.988803355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ_XM_contig_16654606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.45529066	86.06872842	0	10.21969349	0.0620272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ_XM_contig_16773722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.563488885	2.690421296	0.16651378	0.326079662	3.107524781	43.49665527	4.365083651	7.105791765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ_XM_contig_17321997||full	8.475993379	6.354024611	11.09698508	2.890480826	5.569265332	6.60088678	5.013736693	7.431879898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.650176105	0.810044896	31.19627084	10.11556018	4.512884208	9.817170509	10.75380334	9.695585323	0	0	0	0	0.037659627	0	0	0	19.44502098	11.05898568	26.70837661	5.004025303	20.41479229	20.68853352	12.39275202	24.16182431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ_XM_contig_17608134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.94074264	2.854407757	7.941050777	7.917605032	2.679396408	7.896632877	2.756120793	8.165142884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ_XM_contig_17941108||full	1.133164105	0.115156437	0	0	0	0	1.731527839	0	0	0.002094461	0.032593155	0	0	0	0	0	0	0	0	0	0	0	0	0	7.828715913	12.04711337	4.863482035	7.805059487	2.617984016	4.020605315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.455568099	6.141070699	5.140377352	13.57451514	7.905850543	0.450454958	10.6115492	6.590203384	0	0	1.213596635	0	0.148919326	1.881272843	0.965100325	0.050949722	7.372375194	8.986275386	6.499517921	12.64137726	9.705168539	6.014581898	6.555932595	4.648458144	0	0	0	0	0	0	0	0	32.00309943	29.88439372	24.24949417	28.64655959	15.68851651	33.37727558	30.09265008	25.35185976	13.22226413	7.612907364	6.31675046	18.8096246	10.95767219	6.23767053	8.423123212	7.337790475
FJ_XM_contig_18403653||full	0	0	0	0	0	0	0	0.255019202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.868461555	2.640166899	0	1.685218556	0	0.547083399	2.025917409	0.605153077	0	0	0	0	0	0	0	0	3.396103563	5.024958626	3.935751403	2.127378178	4.127899461	4.125322815	2.62211644	7.590217177	0	0	0	0	0	0	0	0	0	0	0	0	0.104215016	0.13367769	0	0	0	0	0	0	0	0	0	0
FJ_XM_contig_18616921||full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.730062443	0	0	0	0	0	0	0.127780943	0	0.154524465	0.048110993	0	0	0	0	0.016523032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037385411	0	0	0	0	0	0	0	5.966942913	10.46898852	14.26987831	12.80076636	7.757634922	7.996859121	3.792673677	8.085468397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ_XM_contig_18619704	0	0	0.199385709	0	0.546830127	0.142030244	0.281091562	0	0	0	0.744184451	0.05989303	0	0.136997705	0	0	0	0	0	0	0	0	0	0	14.91920972	8.19596091	9.643730068	13.99492591	18.78808806	12.26084695	17.12637657	5.865125908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.959194448	2.965468095	1.107222737	0.742773957	0	0	0	0	1.635868228	0.584668819	0.506768987	1.795356418	2.888552554	2.727471364	1.508312434	0.169147264	8.266669992	15.27251165	14.99642694	13.20375258	9.129138024	35.39875716	11.15523771	21.52729545	0.911624353	0	0.692232681	0	0	0.078606327	0.170926008	0	0	0	0	0	0	0	0	0	0	1.904540556	0	0	1.017007823	0	0.145608654	0.016701645
FJ_XM_contig_18916494||full	0	0.336553618	0	0	0	0	2.354914598	1.121821222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.515397475	0	0.153347537	0	0	0	0	0.183191793	0	0	0	0	0.088913526	0	0	0	0	0	0	0	0	0	0	0	7.377260268	2.922224447	6.392129178	6.045387353	3.854360634	8.40702005	3.018471088	3.765131266	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075103423	0	0	0	0	0	0	0	0	0	0
FJ_XM_contig_19045204||0_partial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.351738264	0.043555891	3.510439489	1.794870769	0	0	0	0	0	0	0	0	13.20233557	10.03679989	6.462186172	12.5909233	10.40994671	8.358453699	10.17033519	8.19551439	0	0	0	0	0	0	0	0	1.770752346	5.753840632	2.891825602	1.721138966	2.246072395	2.462879805	3.108908157	1.398967564	0	0	0	0	0	0	0	0
FJ_XM_contig_19508303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.41303919	7.143269767	14.61703996	29.1621929	27.67107358	12.65899468	57.86192629	40.48177839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.635934736	2.207083105	6.853750579	1.118917227	2.58237937	0.140257261	0	0	0	0	0	0	0.06692674	0.511293302	0	0	19.98790779	20.05596884	35.49306133	19.1642924	17.35544859	38.59086671	17.88083313	42.62762888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ_XM_contig_19801164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.61629669	18.06486085	4.365172948	1.629400488	9.577372763	40.83965293	14.49828006	15.20504985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
